6413,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,14
6414,2013-06-28,2013-06-28,62,McCormick Place,22
6418,2013-06-28,2013-06-28,94,Lincoln Ave & Armitage Ave,23
6419,2013-06-28,2013-06-28,94,Lincoln Ave & Armitage Ave,23
6421,2013-06-28,2013-06-28,34,Cannon Dr & Fullerton Ave,23
6422,2013-06-28,2013-06-28,88,May St & Randolph St,19
6425,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,16
6428,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,31
6429,2013-06-28,2013-06-28,350,Ashland Ave & Chicago Ave,30
6431,2013-06-28,2013-06-28,51,Clark St & Randolph St,18
6442,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,6
6445,2013-06-28,2013-06-28,51,Clark St & Randolph St,12
6450,2013-06-28,2013-06-28,48,Larrabee St & Kingsbury St,16
6451,2013-06-28,2013-06-28,77,Clinton St & Madison St,11
6456,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,31
6462,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,22
6463,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,21
6464,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,19
6465,2013-06-28,2013-06-28,51,Clark St & Randolph St,17
6466,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,13
6469,2013-06-28,2013-06-28,90,Millennium Park,8
6471,2013-06-28,2013-06-28,90,Millennium Park,7
6472,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,19
6486,2013-06-28,2013-06-28,46,Wells St & Walton St,9
6489,2013-06-28,2013-06-28,48,Larrabee St & Kingsbury St,12
6498,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,22
6499,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,25
6500,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,17
6507,2013-06-28,2013-06-28,81,Daley Center Plaza,11
6516,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,30
